,TH1_capital,DHT_capital,AGX_capital,AFX_capital,FHN_capital
2014-03-31,0.7262062998158064,0.2737937001841936,1.5260442339181645e-18,1.5260442339181645e-18,1.5260442339181645e-18
2014-06-30,0.7175808411619972,0.2824191588380028,1.7688564519923515e-18,1.7688564519923515e-18,1.7688564519923515e-18
2014-09-30,0.581034801925213,0.4189651980747871,2.313957793409848e-18,2.313957793409848e-18,2.313957793409848e-18
2014-12-31,0.4997937875795003,0.5002062124204997,2.4118411754349155e-18,2.4118411754349155e-18,2.4118411754349155e-18
2015-03-31,0.5256799592135305,0.4743200407864695,2.4629510586995128e-18,2.4629510586995128e-18,2.4629510586995128e-18
2015-06-30,0.5762046142045797,0.42379538579542025,2.154559478768971e-18,2.154559478768971e-18,2.154559478768971e-18
2015-09-30,0.5958352505679485,0.40416474943205144,0.0,2.0633915140960593e-18,2.0633915140960593e-18
2015-12-31,0.3919810659335523,0.332217231870079,0.27580170219636874,1.4163724152973888e-18,1.4163724152973888e-18
2016-03-31,0.3648078386577993,0.36905991320567855,0.2661322481365222,1.4606920466778752e-18,1.4606920466778752e-18
2016-06-30,0.23822728647776548,0.4515567445088351,0.3102159690133995,1.4828962743714004e-18,1.4828962743714004e-18
2016-09-30,0.3006746450621867,0.46213861674815143,0.23718673818966196,1.3498300563959e-18,1.3498300563959e-18
2016-12-31,0.18063500150529171,0.4828358151347429,0.20008800166740004,0.13644118169256542,1.286574084795525e-18
2017-03-31,0.1031146567088178,0.6844946108800815,0.10322922854960537,0.10916150386149537,1.0608503776627345e-18
2017-06-30,0.056497422168476634,0.711469007931501,0.12797087743713453,0.10406269246288785,6.246260051793989e-19
2017-09-30,0.08153459516228068,0.6467290534940762,0.19234916938728258,0.07938718195636052,6.710666268500468e-19
2017-12-31,0.05358792867586361,0.6781798628472466,0.10328577067747934,0.08901917918583103,0.07592725861357957
2018-03-31,0.048390597169296716,0.6087797813983287,0.19658900057286652,0.07892392346399774,0.06731669739551054
2018-06-30,0.056126436798986476,0.6084287167795746,0.17217549848590907,0.08519123807738418,0.07807810985814563
2018-09-30,0.05653163030369477,0.6454046827224111,0.1536015787742572,0.06582032915494158,0.07864177904469538
2018-12-31,0.04777556948478826,0.6582341017060479,0.1373643173826632,0.08224475813529475,0.0743812532912059
2019-03-31,0.050213836552846156,0.6104001410450877,0.1896074468235471,0.07160121138091026,0.07817736419760893
2019-06-30,0.05461302022947177,0.6066114926830688,0.18629593460677413,0.10194430442834732,0.05053524805233788
2019-09-30,0.03853289567575282,0.6737159982874269,0.15419323533609253,0.0979020979020979,0.03565577279862994
2019-12-31,0.03860061063306717,0.7130219017005427,0.14260609592280335,0.07005296003778856,0.03571843170579815
2020-03-31,0.04628172612325749,0.7736473908419778,0.08234444711849973,0.07199379619173388,0.025732639724531166
2020-06-30,0.043927601375998576,0.6943894834068409,0.1423562548451659,0.09790232145527947,0.021424338916715094
2020-09-30,0.06639145067407504,0.663624073141016,0.1236634718970696,0.12828257240658106,0.018038431881258126
2020-12-31,0.03730287699261179,0.6363853270964501,0.13154297067743867,0.17807134696061597,0.016697478272883374
2021-03-31,0.026951246914623802,0.6072211501662311,0.14152271784104586,0.20813413692932484,0.01617074814877428
2021-06-30,0.028390725879083853,0.5974963128630562,0.14145987764100043,0.21601639255824673,0.016636691058612908
2021-09-30,0.030855831043525923,0.5812484314952553,0.13927087899805862,0.23199013710502825,0.016634721358131977
2021-12-31,0.033760085110170625,0.5194123668299216,0.1614075391165581,0.2699959097950871,0.01542409914826251
2022-03-31,0.05546606960936514,0.5082971585291397,0.16193706688532067,0.25822315959119013,0.016076545384984445
2022-06-30,0.05201563486463402,0.5287592379396145,0.16349203401790027,0.23884019757121105,0.016892895606640177
2022-09-30,0.02557015718419236,0.5484629245181919,0.17753763872308714,0.22679184247188156,0.021637437102646987
2022-12-31,0.01787461290061568,0.5452482707721882,0.19246323935062928,0.2231261692669447,0.02128770770962213
2023-03-31,0.03567672482772155,0.5554200481660254,0.22219992766776503,0.16614880766819567,0.02055449167029225
2023-06-30,0.017651812121957024,0.7220676417440512,0.1321414655449703,0.11440989338305478,0.013729187205966574
2023-09-30,0.013674497101863706,0.661138949253201,0.16565075412319202,0.14317315341694906,0.01636264610479418
2023-12-31,0.01450566200502786,0.7064990354502262,0.14468361731300647,0.11819428300393073,0.016117402227808737
2024-03-31,0.020756490129292694,0.6897596608675052,0.18075937689738325,0.09554574821420446,0.013178723891614407
2024-06-30,0.011022645412631064,0.8036187678909226,0.12645980464309456,0.05260808037846643,0.0062907016748854055
2024-09-30,0.006451145784310175,0.8342323426130398,0.114165731455671,0.03902544980632081,0.006125330340658146
2024-12-31,0.006885267594994637,0.8474337732369166,0.11046202282131938,0.03521893634676936,1.3784319509498775e-19
